Original,change to,notes
Pandalus platyceros,Pandalus platyceros,
Pasiphaea,Pasiphaea,
Plesionika,Plesionika,
Plesionika sp. A,Plesionika,
Cerataspis monstrosus,Delete,
Eusergestes similis,Delete,
Sergestidae,Delete,
Sergestoidea,Delete,
Calocarides quinqueseriatus,Calocarides quinqueseriatus,
Chirostylidae,Chirostylidae,
Galatheidae,Galatheoidea,
Galatheoidea,Galatheoidea,
Munida,Munida,
Munida bapensis,Munida bapensis,
Munida quadrispina,Munida quadrispina,
Munida sp. A,Munida,
Munididae,Munida,
Munidopsidae,Munidopsis,
Munidopsis,Munidopsis,
Munidopsis depressa,Munidopsis depressa,
Munidopsis kensmithi,Munidopsis kensmithi,
Munidopsis lignaria,Munidopsis lignaria,
Munidopsis recta,Munidopsis recta,
Munidopsis scotti,Munidopsis scotti,
Munidopsis sp. 1,Munidopsis,
Pleuroncodes planipes,Pleuroncodes planipes,
Cirripedia,Cirripedia,
Scalpellidae,Scalpellidae,
Verum proximum,Verum proximum,
Colossendeidae,Pycnogonida,
Colossendeis,Pycnogonida,
Pycnogonida,Pycnogonida,
Alciopidae,Delete,
Anchinothria fissurata,Delete,
Annelida,Annelida,
Biremis,Delete,
Canalipalpata,Canalipalpata,
Chaetopterus pugaporcinus,Delete,
Ctenophoricola,Delete,
Echiura,Echiura,
Flabelligeridae,Delete,
Harmothoe,Harmothoe,
Hirudinea,Hirudinea,
Lamellibrachia,Delete,Proabably delete these are cold seep only
Oasisia,Delete,Proabably delete these are hydrothermal vent only
Osedax,Delete,Proabably delete these are whale fall only
Osedax frankpressi,Delete,Proabably delete these are whale fall only
Paradiopatra,Paradiopatra,
Peinaleopolynoe orphanae,Peinaleopolynoe orphanae,
Phyllochaetopterus gigas,Delete,Proabably delete these are whale fall only
Poeobius,Delete,
Poeobius meseres,Delete,
Polychaeta,Polychaeta,
Polynoidae,Polynoidae,
Ridgeia,Delete,Proabably delete these are hydrothermal vent only
Riftia pachyptila,Delete,Proabably delete these are hydrothermal vent only
Sabellida,Sabellidae,
Sabellidae,Sabellidae,
Serpulidae,Serpulidae,
Siboglinidae,Delete,"Chemosynthetic community specialists (whale falls, hydrothermal vents, cold seeps)"
Terebellidae,Terebellidae,
Tomopterid eggcase,Delete,
Tomopteridae,Delete,
Tomopteris,Delete,
Tomopteris nisseni,Delete,
